ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,County,State,Zipcode,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,lat_id,lng_id
A-640277,2,2021-10-07 21:04:00,2021-10-07 22:19:50,24.566027,-81.751053,0.003,Key West,Monroe,FL,33040-4538,US/Eastern,KEYW,2021-10-07 20:53:00,84.0,84.0,76.0,30.0,10.0,E,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,24566,-81751
A-270926,2,2021-05-29 17:38:00,2021-05-29 20:13:27,24.57033,-81.751126,0.066,Key West,Monroe,FL,33040-4320,US/Eastern,KEYW,2021-05-29 17:53:00,83.0,83.0,65.0,29.93,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24570,-81751
A-435409,2,2021-09-03 19:46:00,2021-09-03 21:01:32,24.570087,-81.751491,0.091,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-09-03 19:53:00,85.0,85.0,65.0,29.97,10.0,W,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24570,-81751
A-2570540,2,2018-11-05 11:49:29,2018-11-05 12:18:51,24.570222,-81.751502,0.055,Key West,Monroe,FL,33040,US/Eastern,KEYW,2018-11-05 11:53:00,87.1,,63.0,30.04,10.0,ESE,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24570,-81751
A-1991280,2,2020-12-09 21:47:30,2020-12-10 03:05:21,24.570584,-81.74969899999998,0.91,Key West,Monroe,FL,33040,US/Eastern,KEYW,2020-12-09 21:53:00,62.0,62.0,65.0,30.19,10.0,N,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24570,-81749
A-1842772,2,2020-12-09 21:47:30,2020-12-10 03:25:15,24.571999,-81.754544,1.079,Key West,Monroe,FL,33040-4535,US/Eastern,KEYW,2020-12-09 21:53:00,62.0,62.0,65.0,30.19,10.0,N,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24571,-81754
A-2614104,2,2018-09-25 18:50:17,2018-09-25 19:20:10,24.571202,-81.748325,0.221,Key West,Monroe,FL,33040,US/Eastern,KEYW,2018-09-25 18:53:00,87.1,,67.0,30.01,10.0,ESE,9.2,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,24571,-81748
A-2667409,4,2018-04-19 19:27:57,2018-04-20 01:27:57,24.57124,-81.748204,0.0,Key West,Monroe,FL,33040-4318,US/Eastern,KEYW,2018-04-19 19:53:00,77.0,,66.0,30.08,10.0,NNW,5.8,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,24571,-81748
A-2667413,4,2018-04-19 20:54:57,2018-04-20 02:54:57,24.571202,-81.748325,0.28,Key West,Monroe,FL,33040,US/Eastern,KEYW,2018-04-19 20:53:00,75.9,,67.0,30.09,10.0,NNW,3.5,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,24571,-81748
A-2714549,2,2017-12-06 19:40:53,2017-12-07 01:40:53,24.571202,-81.748325,0.04,Key West,Monroe,FL,33040,US/Eastern,KEYW,2017-12-06 19:53:00,77.0,,88.0,30.05,10.0,East,6.9,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,24571,-81748
A-2513520,4,2019-01-31 16:39:04,2019-01-31 17:08:27,24.571308,-81.747555,0.18,Key West,Monroe,FL,33040,US/Eastern,KEYW,2019-01-31 16:53:00,75.9,,67.0,30.14,10.0,East,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24571,-81747
A-2513521,4,2019-01-31 16:39:04,2019-01-31 17:08:27,24.571536,-81.74727299999998,0.0,Key West,Monroe,FL,33040,US/Eastern,KEYW,2019-01-31 16:53:00,75.9,,67.0,30.14,10.0,East,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24571,-81747
A-2714548,2,2017-12-06 19:40:53,2017-12-07 01:40:53,24.57131,-81.74755,0.0,Key West,Monroe,FL,33040,US/Eastern,KEYW,2017-12-06 19:53:00,77.0,,88.0,30.05,10.0,East,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24571,-81747
A-612192,2,2021-11-19 15:11:00.000000000,2021-11-19 16:26:20.000000000,24.574326,-81.737563,0.073,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-11-19 15:11:00,,,,30.01,10.0,NNE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,24574,-81737
A-1010832,2,2021-05-29 17:25:30,2021-05-29 18:24:38,24.57444,-81.737888,0.68,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-05-29 17:53:00,83.0,83.0,65.0,29.93,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24574,-81737
A-1452587,2,2021-05-04 16:59:00,2021-05-04 19:14:24,24.574116,-81.737564,0.019,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-05-04 16:53:00,85.0,85.0,72.0,29.98,10.0,ESE,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,24574,-81737
A-1781987,2,2020-12-10 01:45:00,2020-12-10 06:06:01,24.574326,-81.737563,0.073,Key West,Monroe,FL,33040,US/Eastern,KEYW,2020-12-10 01:53:00,58.0,58.0,70.0,30.17,10.0,NNE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,24574,-81737
A-1820861,2,2020-12-13 21:01:00,2020-12-13 22:16:55,24.574326,-81.737563,0.073,Key West,Monroe,FL,33040,US/Eastern,KEYW,2020-12-13 20:53:00,74.0,74.0,87.0,30.08,10.0,ESE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,24574,-81737
A-402145,2,2021-12-07 06:53:30,2021-12-07 07:27:00,24.574762,-81.735929,0.327,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-12-07 06:53:00,71.0,71.0,90.0,30.08,10.0,NE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24574,-81735
A-537545,2,2021-08-06 10:35:00,2021-08-06 11:50:03,24.574762,-81.735929,0.105,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-08-06 10:53:00,87.0,87.0,67.0,30.13,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24574,-81735
A-1447438,2,2021-12-31 20:41:00,2021-12-31 21:56:52,24.574762,-81.735929,0.105,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-12-31 20:53:00,77.0,77.0,79.0,30.09,10.0,E,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24574,-81735
A-1904732,2,2020-11-26 19:57:00,2020-11-26 22:12:02,24.574762,-81.735929,0.105,Key West,Monroe,FL,33040,US/Eastern,KEYW,2020-11-26 19:53:00,76.0,76.0,76.0,30.08,10.0,NE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24574,-81735
A-2375500,4,2019-12-04 18:20:29,2019-12-04 18:48:11,24.57473,-81.73512,2.237,Key West,Monroe,FL,33040-4317,US/Eastern,KEYW,2019-12-04 17:53:00,74.0,74.0,62.0,29.98,10.0,NW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24574,-81735
A-2660867,4,2018-04-02 05:47:15,2018-04-02 11:47:15,24.574811,-81.735607,0.7979999999999999,Key West,Monroe,FL,33040,US/Eastern,KEYW,2018-04-02 05:53:00,73.0,,81.0,30.0,10.0,ENE,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24574,-81735
A-2680330,2,2018-03-22 08:40:55,2018-03-22 14:40:55,24.575237,-81.732787,0.0,Key West,Monroe,FL,33040-4331,US/Eastern,KEYW,2018-03-22 08:53:00,66.0,,63.0,30.21,10.0,NNE,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24575,-81732
A-1706903,2,2021-02-27 22:38:00.000000000,2021-02-27 23:53:23.000000000,24.575849,-81.72782600000002,0.456,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-02-27 22:53:00,77.0,77.0,76.0,30.16,10.0,E,20.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24575,-81727
A-1757621,2,2020-11-13 14:52:00,2020-11-13 16:47:42,24.57741,-81.71844499999997,0.2239999999999999,Key West,Monroe,FL,33040,US/Eastern,KEYW,2020-11-13 14:53:00,80.0,80.0,85.0,29.96,10.0,NNE,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24577,-81718
A-1424636,2,2021-07-31 22:05:30.000000000,2021-08-01 00:54:30.000000000,24.584793,-81.699107,1.492,Key West,Monroe,FL,33040,US/Eastern,KEYW,2021-07-31 21:53:00,86.0,86.0,72.0,30.08,10.0,ESE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24584,-81699
