ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,County,State,Zipcode,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,DF_Matching
A-462809,4,2021-09-08 17:52:00.000000000,2021-09-08 19:07:00.000000000,31.182205,-84.518098,0.301,Colquitt,Baker,GA,39837-8431,US/Eastern,KBGE,2021-09-08 17:55:00,76.0,76.0,96.0,29.75,10.0,S,5.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-501128,2,2021-09-08 17:52:00.000000000,2021-09-08 19:07:00.000000000,31.186563,-84.517958,0.301,Colquitt,Baker,GA,39837-8170,US/Eastern,KBGE,2021-09-08 17:55:00,76.0,76.0,96.0,29.75,10.0,S,5.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-836116,2,2021-09-08 17:52:00,2021-09-08 19:07:00,31.182205,-84.518098,0.301,Colquitt,Baker,GA,39837-8431,US/Eastern,KBGE,2021-09-08 17:55:00,76.0,76.0,96.0,29.75,10.0,S,5.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-1166942,2,2021-09-08 20:35:30,2021-09-08 21:06:30,31.190711,-84.517811,0.589,Colquitt,Baker,GA,39837,US/Eastern,KBGE,2021-09-08 20:35:00,74.0,74.0,100.0,29.74,7.0,E,3.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,31.1_-84.5
A-1413629,4,2021-09-08 17:52:00,2021-09-08 19:07:00,31.186563,-84.517958,0.301,Colquitt,Baker,GA,39837-8170,US/Eastern,KBGE,2021-09-08 17:55:00,76.0,76.0,96.0,29.75,10.0,S,5.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-2338860,4,2020-02-13 14:07:38,2020-02-13 14:36:24,31.1999,-84.50388000000002,1.967,Colquitt,Baker,GA,39837,US/Eastern,KBGE,2020-02-13 14:15:00,64.0,64.0,91.0,29.81,10.0,WNW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-2338864,4,2020-02-13 14:58:38,2020-02-13 15:27:22,31.1999,-84.50388000000002,1.967,Colquitt,Baker,GA,39837,US/Eastern,KBGE,2020-02-13 14:55:00,64.0,64.0,91.0,29.82,10.0,WNW,10.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-2391190,2,2019-12-14 13:10:56,2019-12-14 13:38:17,31.18424000000001,-84.57005,0.0,Colquitt,Miller,GA,39837-4712,US/Eastern,KBGE,2019-12-14 13:15:00,57.0,57.0,69.0,29.72,10.0,WNW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-2581237,4,2018-11-22 13:51:04,2018-11-22 14:20:26,31.183401,-84.546328,0.41,Colquitt,Miller,GA,39837-4627,US/Eastern,KBGE,2018-11-22 13:55:00,60.8,,42.0,30.25,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-2656493,4,2018-05-18 12:58:41,2018-05-18 18:58:41,31.183763,-84.539468,1.808,Colquitt,Baker,GA,39837,US/Eastern,KBGE,2018-05-18 12:55:00,82.4,,70.0,29.94,10.0,SW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
A-2656494,4,2018-05-18 12:58:41,2018-05-18 18:58:41,31.18424000000001,-84.57005,1.808,Colquitt,Miller,GA,39837-4712,US/Eastern,KBGE,2018-05-18 12:55:00,82.4,,70.0,29.94,10.0,SW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,31.1_-84.5
